score,genre,review
10,연출스토리,"참 사람냄새 나는 영화네요"
10,영상미배우,"박정민의 연기는 세계 최고다"
7,스토리배우,"재밌게 잘 봤습니다."
10,영상미배우,"잔잔한 스토리에 감동까지"
10,연출영상미,"순수한 마음으로 함께 하는 것이 좋습니다 순박하고 아름다운 풍경을 보며 자연경광 을 통해 도시나 구체적인 장소 또는 다른 사람의 마음을 담은 영상입니다"
10,스토리배우,"너무 감동적이고 연기도 너무 잘해요"
10,영상미배우,"모든게 완벽했던 영화. 기억될 수작"
7,연출스토리,"잔잔한 영화.그냥 기대안하고 볼만함"
10,연출배우,"눈물 한바가지 ㅠㅠ"
10,연출스토리,"잔잔하지만 마음에 파문이 이는 영화네요. 추천!"
10,연출배우,"인간이 가질 수 있는 평범한, 그러나 평범하지 않은 감정에 공감이."
10,배우,"아주아주 자미있어요"
10,연출배우,"소소하지민 배우들의 연기력이 좋았어요"
10,스토리영상미,"반전으로 눈물. 감동적인 부분 많았습니다. 누나가 죽은사람이었을줄이야."
9,연출스토리,"역이 가져다주는 삶에 미치는 영향을 가슴아픈 가족사와 애환과 그리움을 그린 작품이였음"
10,스토리배우,"슬프기도 재미있기도 쏘쏘"
10,배우,"잠은 조금 오지만 마음이 따뜻해지는영화"
8,스토리영상미,"적당히 재밌어요 볼만했어요"
10,스토리배우,"이 시대에서 가장 감동적인 영화였다"
9,스토리,"스토리전계 알차요. 너무 괜찮네요"
10,스토리,"연출이 너무 좋았어요"
10,스토리배우,"감동이 있는 실화를 바탕으로 한 드라마같은 영화"
8,스토리배우,"아이와 함께 재미있게 관람했네요"
10,연출스토리,"눈물나는 영화네요 엄청울었어요"
10,스토리,"따뜻한 분위기의 영화"
10,연출스토리,"배우 연기력도 좋고 스토리가 좋네요"
8,스토리배우,"재미있게 잘 봤습니다."
9,스토리영상미,"누구랑 같이 봐도 좋을 영화, 보고 나서는 여운이 남았던 영화"
10,영상미,"간만에 재미있는 영화를보았습니다"
10,연출배우,"재미 있게보다가 마지막이슬퍼서 감동과 재미가있었어요"
10,스토리영상미,"마음이 정화되는 소중한 기적의 시간!!!"
10,배우OST,"배우들의 연기는 너무 좋았지만 스토리가 넘 재미있어요 ~"
10,영상미배우,"잔잔하고 감동과 재미가있어서좋네요"
10,영상미배우,"영화 엄청 재밌었음"
8,스토리배우,"💧🥲🥲🥲💧"
8,영상미배우,"반전과 배우들의 연기가 좋았음"
10,스토리배우,"슬프고 살짝 무섭고 좋은영화~"
10,연출스토리,"또 보고싶은 이야기. 감동 멋져요"
10,스토리영상미,"남편의 고향.. 인터뷰에서 실제 촬영장소는 봉화가 아니라고 ㅎㅎ 윤아 너무 귀여웠어요"
10,스토리영상미,"실화내용이라니 감동입니다."
10,연출,"영화 재미있게 봤어요"
10,배우,"믿고보는 박정민 윤아 재미있게 봤습니다"
10,스토리,"즐겁게 관람했습니다."
10,스토리배우,"매력의 박배우연기 근래 보았던 영화중에 좋았던"
8,영상미배우,"살짝 슬프기도 함ᆢ"
10,스토리,"영화 재미있게 잘 봤어요"
10,영상미배우,"박정민의 수스한 매력과 윤아의 케이 재미있게 봤어요"
10,스토리,"너무 재미있고 감동적이었어요"
10,스토리배우,"배우 연기 좋았어요"
10,연출스토리,"박정민의 연기 윤아의 애교 총합해서 따뜻함"
9,연출배우,"정말 기적이 있을까요?"
10,스토리,"감동적이에요 ㅎㅎ 다만 살짝 지루했어요^^;"
9,연출스토리,"따뜻한 영화. 배우들의 연기도 좋았어요. 강추"
10,스토리배우,"감동과 웃음을 준 영화에요"
10,배우,"배우님들의 연기가 좋았고 잔잔한 줄거리가 좋았어요"
5,스토리영상미,"우는 장몀 너무 많음"
10,연출배우,"실화를 바탕으로 잘봤어요"
10,연출배우,"최고의 영화가 아니였나 싶어요 깊은 감동으로 주변 사람들께 내리기전에 볼 것을 권했던 손가락에 곱을 정도로 최고의 영화로 기억합니다"
10,영상미배우,"잉모야 식스센스야모야"
8,배우OST,"억지스런 감동이 조금 부담..."
10,영상미,"감동도있고 재이도있고 두마리 토끼를 모두 잡아라"
8,스토리배우,"마음이 따뜻해지는 영화. 배우들의 열연으로 재밌게 잘 봤습니다~"
10,연출스토리,"감덩이 밀려왓어요 흑흘"
10,스토리배우,"끝으로 갈수록 벅차오르는 스토리와 마음을 울리는 배우들의 연기력이 돋보였던 영화"
8,스토리,"실화를 소재 영화화"
9,영상미,"영상미가 매우 뛰어남"
10,영상미배우,"가족끼리 보기 딱 좋은~ 감동적이었습니다"
10,스토리,"오랜만에 따뜻한 영화 봤어요"
10,스토리배우,"재밌게 봤어요. 보면서 좀 울었네요"
10,연출스토리,"재밌게잘봤습니다~~"
10,연출배우,"믿고보는 배우들의 연기로 적당한 웃음이 더해진 감동드라마"
10,배우,"영화 재미있습니다^^"
8,스토리,"따뜻하고재미있었어요"
8,스토리영상미,"감동 그 자체였어요~"
5,영상미,"뒤로 갈수록 갑자기 헤비해지더니..개인적으론 힐링영화인척하다가 균형 맞추는데 실패한 어설픈 영화가 되어버린 느낌이다. 박정민의 연기가 묻히는 영화."
7,스토리영상미,"어서와~ K-신파는 처음이지? 신파의 교과서입니다. 스토리도 잘 풀어가고 감동도 있습니다."
10,영상미배우,"매우 재미있었습니다~"
9,연출스토리,"간만에 좋은 영화 봤네요~~"
10,스토리배우,"배우들의 연기력이 훌륭했고 끝으로 갈수록 슬펐어요"
6,배우,"영혼의 존재를 늦게 알게 되었네요ㅜ"
7,스토리배우,"스토리좋고 연기좋고 재미있어요~"
9,스토리배우,"뭔가 뻔한신파인가...? 라고생각할때 아니라고 얘기해주는 영화"
9,영상미배우,"박정민이 10대로 나오는 설정 말고는 다 좋았습니다."
10,스토리배우,"너무너무 재미있고 감동적인 영화에용"
10,연출스토리,"기적이라는 단어의 의미를 다시한번 생각해보는 좋은 기회 였네요..."
8,영상미,"가족과 함께 볼영화"
10,연출배우,"기대 안하고 봐서 일까요? 스토리? 다 예상할수있는? 반전과 눈물이 있는 영화! 감정이입 완전 풀로 했어요!"
10,스토리배우,"가슴 따뜻한 영화 잘 봤습니다."
10,연출스토리,"오랜만에넘즐겁게잘감상했어요"
10,연출스토리,"윤아 개이쁘게 나옴"
10,연출스토리,"너무 재밌게 봤어요~"
10,스토리배우,"넘 감동이였어요~ 굿!"
10,연출스토리,"엔딩크레딧에서 실화라는 사실을 알고 더 여운이 깊어졌습니다."
8,스토리배우,"처음부터 끝까지 눈을 뗄 수가 없었어요."
10,연출스토리,"잔잔하게 깊은 감동이 남은 영화입니다. 눈물 흘리며 봤어요^^"
9,스토리OST,"음악도좋고내용도연기도아주좋아요"
10,영상미배우,"제게도 기적이 올까요?. 감동적입니다"
10,연출영상미,"너무 힐링되는 영화 였어요 감동까지"
10,스토리배우,"좋은 영화 강추함*"
10,스토리배우,"좋은 영화 강추함*"
8,배우,"영화보는 내내 질질짰다"
10,스토리배우,"반전의 맛이 있네. 박정민이 연기를 잘하고"
8,배우,"누나의 연기력이 돋보인 영화"
10,스토리배우,"배우 연출 스토리 모두 대성공!! 별생각없이 봤는데 생각보다 너무 좋았다~ 감동포인트가 많아서 울면서 봤다 가슴 따뜻해지는 영화 강추!!"
10,영상미배우,"경상북도 80년대 산골과 태백선 철도 고증. 배우들 연기력. 반전 연출."
5,연출스토리,"시간때우기 좋아요~~"
10,스토리,"연기도 좋고 감동도 있네요"
10,스토리배우,"박정민 배우 연기 넘 좋았구요 스토리가 감동적이었어요~~"
10,스토리배우,"어느새 눈물이 글썽끌썽 했어요"
10,스토리배우,"방심하고 보다 눈물샘 대폭발"
7,연출스토리,"박정민 고등학생 비쥬얼은 너무 무리수"
9,스토리배우,"80년대의 풋풋한 감성과 슬프지만 감동적인 가족애를 잘 그려낸 영화입니다. 잘 봤습니다."
10,연출영상미,"가슴 따뜻해지고 훈훈한 영화"
10,연출스토리,"왜 한국판 어바웃타임이라고했니??. 휴...."
10,연출배우,"마음뭉클해지는 영화"
10,스토리,"감동적이고 재밌었습니다. 영화가 생각보다 긴데 그런느낌없이 보고 나왔습니다."
10,스토리배우,"기대안하고 봤는데 존잼이었어요"
8,배우,"윤아가 이뻤음 스토리는 그냥저냥"
10,연출배우,"‘기적’처럼 멋진 영화!"
8,영상미,"관람하는 동안 따뜻한 인간미를 느낄 수 있었다."
10,스토리배우,"가장 어려운건 가족이죠 감동적입니다"
5,배우,"맹물 한 사발 들이켠 느낌"
9,배우,"반전도 있고 마음 따뜻해지는 영화였다"
10,영상미,"기적같은 일이 . 잘 봤어요"
10,스토리배우,"라붐이 거기서 왜 흘러나와ㅎㅎ 마음이 따뜻해지는 영화였어요. 보고싶었던 영화..봤네요"
10,스토리배우,"영화 막 내리기 직전에 봤는데 다른 관객들이 없어서 오히려 편하고 무엇보다 엄마께서 정말 재밌다고 좋아하셔서 가장 좋네요. 잘 봤습니다!^_^"
10,스토리배우,"어찌나 울었는지 마음이 먹먹하네요"
10,스토리배우,"그 시절의 아련한 이야기"
9,스토리배우,"감동적으로 잼나게 잘봤슴다 ㅡㅡ"
10,스토리배우,"웃기면서도 뭉클한 감동을 안겨다준 영화.."
10,스토리배우,"코로나로 힘들었던 마음을 녹여주는 따뜻하고 여운 깊은 영화였습니다. 이성민, 박정민, 임윤아, 이수경 배우님 감사합니다."
10,영상미배우,"온가족이 함께 보고 뭉클했습니다 연기도 좋고 스토리도 영상도 모두 좋았습니다"
10,스토리배우,"반전조차도 아름다운 영화 .. 엔딩곡 reality 까지도!!"
10,배우,"순백의 사투리가 철길 레일의 진동으로 다가온다."
10,연출배우,"연기도 연출도 좋았어요"
10,스토리배우,"진짜 인생 영화 중 하나"
10,연출스토리,"개봉일부터 매일 한번씩 봤어야 했을 영화. 손수건 필수."
10,연출배우,"맘이 따뜻해지는 영화"
10,스토리,"간절하면 이루어진다는 희망을 보게된 영화. 가족과 함께 보면 좋을 듯한 마음 따뜻해지는 영화"
10,배우,"너무 잔잔하지도 않고 배우도 연기도 스토리도 좋았어요"
8,배우,"영화 잘 봤습니다."
10,스토리배우,"재미있게 봤어요.스토리 연기 다 좋았어요"
10,영상미배우,"배우들의 명품연기 감동 스토리 넘 재밌게 봤어요"
10,스토리배우,"반전의 연속이었닥…"
10,스토리배우,"배우들의 연기가 돋보였습니다 양원역 실화 이야기 하나로 만들어낸 감동 스토리도 인상적이었습니다"
10,스토리,"그동안 본 영화 중에서 개인적으로 제일 슬펐습니다 ㅠㅠ"
10,스토리,"오랫만에 본 영화 즐겊게 봤습니다."
6,배우,"살짝 뻔한 전개, 윤아배우님은 이런 역할은 잘 하는 듯"
10,연출배우,"흥행작 이 못된것이 의아한."
10,스토리배우,"잔잔하며 감동이 있는 영화 오랜만이네요! 너무나 재밌게 잘 봤습니다. 친구도 최근 본 영화 중에 제일 재밌었대요!"
10,스토리배우,"눈물이. 눈물이 정말 추천해요 입 소문 안 나나요"
10,연출스토리,"다른 아주 흥미로웠고 재밌었습니다"
5,배우,"평범한 신파극인것같다"
10,스토리,"갑자기 훅 들어와 깊은 감동을 주네요 전혀 예상치 못한 전개가 인상깊습니다"
10,배우OST,"엄마랑 보기 좋은 가벼운 영화입니다 웃음과 눈물 비율이 딱 좋아요"
10,스토리배우,"옛날생각도 나고 재밌고 슬프고 너무 재밌게 봤습니다"
10,영상미배우,"찐한가족애 감동받아 눈물찔끔"
7,연출배우,"잔잔하지만 코믹하고 감동적이었어요."
7,배우,"사투리가 어색하지만 나름 재밌게 봤어요"
6,영상미,"너무 유치 찬란한 스토리"
10,스토리배우,"고향과 기족이 생각나는 그리고 꿈도 다시 떠올리는 따뜻한 영화"
2,배우,"다양한 영화적 언어로 확장할 수 있는 참신한 소재를 우직하게, 정말 우직하게도 상업영화의 구닥다리 문법으로만 풀어가는 것도 능력이다."
7,배우,"그냥 아무생각없이 볼 수 있는 영화. 잔잔하고 좀 지루하긴 했음."
10,스토리배우,"울다웃다 재밌게 본 영화❤️ 마음이 따뜻해지는 영화네요👍🏻"
7,배우,"윤아는 이쁘다 스토리는 유치하다 마지막 사진에 귀신둘있다"
8,스토리배우,"재밌었으나 남주가 나이가 많아보여서 집중이 조금 깨졌어요"
9,스토리,"너무너무 재미있었어요. 하하하"
10,연출,"감동적이네요.재미있음"
9,배우,"배우들 연기가 오져요"
10,배우,"너무 감동적이고 재밌었어요!"
10,스토리영상미,"울다가 웃다 재미나게 봤어요"
10,스토리배우,"박정민 배우의 연기가 끝내 줍니다. 스토리도 너무 감동적 이네요"
10,스토리영상미,"일과 가정을 양립할수는 없는 것인지. 이제라도 아버지와 아들이 서로를 이해할 수 있어서 다행이네요"
10,연출배우,"배우들의 연기가 좋앗고 재미잇네요."
10,연출배우,"너무 재미있게 봤어요. 연기. 스토리. 영상, 연출 모두 너무좋았어요. 보고나서 너무 훈훈했어요. 또 보고 싶네요."
10,스토리배우,"따뜻함 엉엉 움 ㅋㅋ"
8,영상미배우,"아날로그, 풋풋해요. 귀여운 윤아~ 이야기 뒤에가서 큰 반전."
10,스토리,"가족이 끝까지 믿어주면 좋은데 믿는 도끼에 발등이 찍히는 경우가 있다는 게 현실이다. 사랑하는 사람을 잃어버릴까봐 외면하는 것보다 미워서 회피하다 사랑하는 사람 잃는 게 더 사실적"
10,스토리영상미,"눈물콧물 ㅠㅠ 암튼감동적이에욧"
8,스토리,"재미도 있고 감동도 있네요"
10,스토리배우,"윤아는 로코퀸 재질, 박군은 조승우 재질"
10,스토리,"잔잔한 울림과 슬픔이에 재미있게 봤습니다"
8,연출배우,"마음이 따뜻해지고 옛날이 그리워지는 영화"
10,스토리배우,"배우들의 연기가 정말 좋습니다! 잔잔한 감동과 웃음이 좋네요! 한번더 볼려고 했더니 여긴 상영하는데가 없어졌네요!"
10,배우,"오~ 박정민 배우님!! 최고임"
10,스토리배우,"손수건이나 휴지 꼭 챙겨가세요~"
10,스토리,"기대만큼 재밌었어요"
10,스토리배우,"진짜 다시보고 싶은 영화"
10,스토리배우,"딸과 같이 보며 눈물 흘리고 재밌게 봤어요"
10,스토리배우,"배우분들 연기도 훌륭하고, 유쾌하며 따뜻한 감동적인 영화였습니다."
10,스토리배우,"간만에 정말 재밌게 봤던 영화!!!"
10,스토리배우,"가면 갈수록 되게 슬프고 감동적이었어요"
10,스토리배우,"준경이가 너무 짠해요. ㅠ"
2,배우,"너무 재미없었고 돈아까운 영화다ㅠ"
10,스토리배우,"감성적인심리영화라서나를뒤돌아보았어요 은은하면서오랫만에좋았던여화한편이네요"
10,스토리,"감동적이고 잔잔한 영화네요"
10,스토리배우,"간이역이라는 소재에 서정적 스토리가 생각보다 잘 어울렸어요! 무엇보다 엔딩이 마음에 들었습니다."
8,연출스토리,"곁에 머무는 그리운 사람, 두려운 존재가 아니다"
10,영상미배우,"반전후부터 계속 눈물 바람 ㅠㅠ"
10,스토리배우,"찡하는 울림이있네요 잘봤습니다"
6,영상미배우,"레트로와 향수어린 기성품"
10,영상미배우,"감동도 있었고 영상미도 좋았다."
10,스토리,"재미있게 잘봤어요.배우들도 좋았고요."
10,스토리배우,"배우들 진짜 잘하네요. 아는 곳이라 더 좋네요."
10,연출스토리,"이계절에 너무 맘에 와 닿는 영화였어요 감동감동"
10,연출배우,"정말 재밌게 잘봤어요"
7,영상미,"쏘쏘한 스토리 였어요"
10,배우,"자느라 영화 못 봄ㅠㅠ"
8,연출스토리,"오랜만에 정말 잘 봤습니다~ 감동적이었어요"
10,스토리배우,"기적 영화 좋았어요"
10,연출스토리,"이렇게 눈물펑펑날줄은"
10,스토리배우,"내용도 너무 좋았고, 박정민 배우 연기력 어쩔 ㅠㅜㅠㅜ"
10,스토리영상미,"너무 재밌게 봤어요~!!"
10,배우,"감동 끝판왕...잘 봤습니다"
9,스토리배우,"각자의 가슴에 남은상처"
10,연출배우,"연기 스토리 연출 모두 짱짱..넘 감동적.."
10,스토리,"인근지역 이야기여서 그런지 사투리가 귀에 잘 들어오고 재미있었어요."
10,배우,"너무감동적이고 잼있어요~~~"
10,스토리배우,"상큼한 영화로 생각하고 보러갔는데 슬픈영화였네요. 볼만한영화입니다."
10,영상미,"좋아유 감동과재미~"
8,영상미배우,"결말을 알고 봐서 감동은 조금 덜했지만 좋았어요"
10,연출스토리,"잔잔한 감동 최근 영화중 최고였어요"
10,연출배우,"너무감동적인영화에요~~"
8,스토리,"오랫만에 영화관람 했네요~~ 영화관이 한산해요"
10,스토리배우,"최고입니다 그냥 무조건보세요"
7,스토리배우,"윤아풋풋한캐미좋네요. 후반부 전개가 여러번으로나눠진게 아쉽습니다."
9,연출배우,"생각지 못했던 반전이 주는 재미와 가족 간의 소통의 중요성을 알게 해 주는 가슴이 따뜻해지는 영화"
7,배우,"빤한 데 울고 있던 나"
1,배우,"억지에 억지에 억지.. 아무 감정도 느낄 수 없었다"
6,배우,"기적 그냥저냥 ...."
9,영상미,"이야기가 참 좋았어요."
7,배우,"영상미와 배우님들의 연기력이 좋았습니다."
10,영상미,"누나의 마음ㅠㅠㅠㅠ"
10,연출배우,"굳굳 재밌었어요오우어엉"
10,영상미배우,"후반부 몰아치는 신파에 조금 지치지만 배우들 합이 좋아서 무난하게 보기 좋았다"
10,스토리,"재밌었어요 그리고 눈물포인트지점이 길어서 안울수가없었음"
8,스토리배우,"재밋어요 연기 잘하네요"
10,스토리,"너무 재미있어요 기대 이상 이예요 다른분들도 꼭 보면 좋겠어요"
8,연출스토리,"잔잔한 타임킬링~~"
10,연출,"재미있게 잘봤습니다"
10,연출배우,"잔잔한 여운이 오래남는 영화입니다."
10,스토리,"사건은 실제지만..스토리는 픽션같은데 감동적이었으며. 가족영화로 강추합니다."
9,연출영상미,"근 본 영화 중 제일 좋았어요 평점이 높았던 이유를 알겠고 영화표 가격이 정말 아깝지 않았습니다 저는 보면서 펑펑 울었어요"
10,배우,"박정민 배우님 팬이라서 그냥 보러 갔는데 재밌고 슬프고 재밌고 슬프고 왔다갔다 하는 영화였습니다. 감동이 있어서 그런지 좋은 영화구나 하는 생각을 했습니다."
9,연출영상미,"예고편만 봤을 때는 그냥 뻔한 휴먼드라마일줄 알았는데, 스토리도 탄탄하고 재미있었어요. 배우분들의 연기가 좋았던 것은 말할 필요도 없구요. 감동적이고, 여운이 남는 따뜻한 영화"
10,스토리배우,"너무 감동적이고, 배우들 연기력 너무 좋았어요!"
10,스토리배우,"감동적이고 잘 봤음, 귀신 소름"
9,스토리영상미,"영상미가 있고 딱 편하게 보기 좋았던 A급 영화. 별 생각없이 봤고 코시국에 연인이 보기 좋음."
9,배우,"과도한 신파만 빼면 잔잔하고 웃음기있는 영화"
10,연출스토리,"잔잔한 감동이 있는 영화예요"
9,스토리배우,"잔잔하지만 감동을 주는. 내 삶과의 오버랩…"
4,배우,"별기 없어요 추석 특선으로 보세요"
10,스토리배우,"마음이 따뜻해집니다"
10,스토리배우,"정말 기작같은 이야기네요"
9,스토리배우,"기적은 기다리는게 아니라 도전하는 것"
10,스토리배우,"재밌지만 슬픈 영화.. ㅠㅠ"
10,연출배우,"어른들을 위한 동화같네요"
10,연출,"너무 재미있었습니다"
10,스토리배우,"영화가 감동적이네요"
9,스토리배우,"슬프지만 울진않았던. 이성민 배우님 연기대박"
10,연출배우,"사투리연기 완벽들..."
10,스토리배우,"너무 재밌었어요 아무생각 없이 예매했는데 되게 재밌고 너무 슬퍼서 엄청 울다가 나왔어요ㅠ..."
10,스토리배우,"너무 감동이었어요!!"
10,스토리배우,"채미있고 감동이에요"
9,스토리배우,"감동 슬픔 웃김 다있어요"
10,스토리,"뭐라말을 못하겠어요.정말 좋은 영화에요.꼭 보세요.가족이란 뭐인지 말해주는 영화.울다.웃다.울다.웃다"
10,연출,"가슴이 따뜻해지는 근래에 보기드문 영화였어요"
10,스토리배우,"오랜만에 좋은영화를 봤다. 웃다 울다... 내용도, 배우들의 연기도 참좋았다. 끝나고 이게 뭐야? 하지 않은 영화 참 오랜만이다. 참 좋은영화.이 영화 봐봐~라고 권한다"
7,연출배우,"옛추억이 생각나네요"
10,스토리,"가을에 보고싶은 영화"
10,연출스토리,"좋은 영화 강추함*"
10,스토리배우,"재밌었고 감동적이었음"
10,스토리영상미,"감동적인 영화로 추천하고 싶습니다"
10,스토리,"철도학과학생이라 재밌게 봤습니다."
10,스토리배우,"삼토반에 이어서 롯데 배급 영화에 대한 신뢰도 상승"
10,스토리배우,"한국영환데 돈이 안아까웠다."
10,연출스토리,"좋은 영화 강추함*"
10,연출스토리,"정말 최고의 영화입니다."
10,스토리배우,"너무 재미있고 마지막엔 감동이~~ 너무 재미있게 잘 봤습니다 윤아ㆍ박정민 케미도 한표"
10,연출,"조아요조아요조아여오"
10,스토리영상미,"진짜ㅜㅜㅜㅜ 원래 감수성 같은거 안키우는데 눈물 좔좔좔 ㅠㅠ넷플에 나온다면 다시 보고싶음 ㅠㅠㅠ"
10,스토리배우,"기적 영화 좋았어요"
10,스토리배우,"기적 영화 좋았어요"
10,스토리배우,"6월개봉예정이었을때부터 너무너무보고싶은영화였는데 개봉이미뤄져서속상했지만 역시나기대한만큼재밌었어요ㅋㅋㅋ 감동적이고슬펐어요ㅠㅠ"
10,스토리,"감동적이고 재미있어요"
10,스토리배우,"휴지 꼭 챙기세요 뻔한 영화인줄 알았던 내가 부끄러워지는 최고의 영화"
10,영상미배우,"배우님들 연기가ㅠㅠㅠㅠ넘 좋아요. 눈물났고, 착한영화가 넘 오랜만이에요."
10,스토리배우,"윤아님도 예쁘지만 이수경님도 예쁘고 배우들 모두 연기를 매우잘하셔서 좋았어요!"
10,스토리배우,"사실 큰 기대 안 하고 봤는데 식스센스에 버금가는 대박 반전이었네요^^"
8,스토리,"괜찮네요~^^ 잘 봤습니다"
9,배우,"더 흥행하지 못한것 같아 아쉬워요"
10,스토리배우,"남자 주인공이 연기 나이에비해서 노안이었구, 죽은 누나의 그림자가 사실감이 떨어져 영화 내내 거슬렸습니다."
10,스토리배우,"여배우들이 너무 이쁨"
10,스토리영상미,"감동적인 시나리오 입니다 살짝 사랑과영혼 느낌도 나고요"
10,스토리배우,"잔잔한 감동. 가족과 꿈의 의미"
10,스토리,"그럭저럭 볼만했엉ᆢㄷ"
10,스토리배우,"강추 입니다. 꼭 보세요"
10,영상미배우,"너무 재밌었습니다 감동도 반전도 재미도 모두👍"
10,스토리배우,"재미 감동 슬픔 너무 재미있어요"
7,배우OST,"기적 (Miracle, 2020)"
